period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,5.2177,,0.687,,,,,,,,,,,yfinance
2024-12-31,,0.6593,,0.0611,0.0414,0.0156,1.65,1.1696,,,,,,yfinance
2025-03-31,8.529,0.7771,0.577,0.0374,0.0228,0.0082,1.78,1.1344,,,,,,yfinance
2025-06-30,5.8621,0.8681,0.964,0.0548,0.037,0.0125,1.96,1.1348,,,,,,yfinance
2025-09-30,7.9995,0.8282,0.691,0.0346,0.0259,0.0087,1.97,1.1542,,,,,,yfinance
2025-12-31,5.342205,0.9457,,0.0201,0.0149,0.005,1.99,1.1731,,,,15251275776,,yfinance
