period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,22.3463,,0.25,,,,,,,,,,,yfinance
2024-12-31,,0.7358,,0.0465,0.0157,0.0094,0.66,1.8074,,,,,,yfinance
2025-03-31,2.0466,0.6837,2.65,0.0802,0.0243,0.0147,0.66,1.8202,,,,,,yfinance
2025-06-30,39.85,0.7868,0.15,0.086,0.0263,0.0157,0.67,1.8004,,,,,,yfinance
2025-09-30,21.2019,0.7198,0.26,0.0891,0.0301,0.0182,0.66,1.8386,,,,,,yfinance
2025-12-31,8.281457,0.7423,,0.0742,0.0255,0.0161,0.59,1.9638,,,,16634333184,,yfinance
