period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,6.5107,,0.106542,,,,,,,,,,,yfinance
2024-12-31,,2.4982,,0.045,0.1217,0.0148,7.23,1.1055,,,,,,yfinance
2025-03-31,6.7327,1.9567,0.08653,0.0287,0.0727,0.0087,7.37,1.1425,,,,,,yfinance
2025-06-30,6.3757,2.3513,0.121963,0.035,0.0922,0.0116,6.96,1.1406,,,,,,yfinance
2025-09-30,4.2058,1.916,0.172974,0.0418,0.1139,0.0148,6.72,1.1375,,,,,,yfinance
2025-12-31,3.4098358,1.7614,,0.0522,0.1138,0.0189,5.03,1.1781,,,,8899357696,,yfinance
