period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,9.2735,,1.93,,,,,,,,,,,yfinance
2024-12-31,,2.6929,,0.0627,0.0707,0.0169,3.19,1.186,,,,,,yfinance
2025-03-31,11.6298,2.6953,1.73,0.0698,0.0649,0.0158,3.12,1.1969,,,,,,yfinance
2025-06-30,10.3118,2.4819,1.82,0.0706,0.0703,0.0159,3.41,1.1742,,,,,,yfinance
2025-09-30,11.693,2.3144,1.58,0.0524,0.0582,0.0136,3.28,1.1858,,,,,,yfinance
2025-12-31,6.688639,2.3254,,0.0572,0.0647,0.015,3.32,1.1815,,,,102025871360,,yfinance
